Question ID,Exam,Questions,Option A,Option B,Option C,Option D,Answer,Explanation,Subject,Topic,Subtopic,Classification Status
Q000082,71ST BPSC,Who was the prominent leader of Kisan Sabha movement in Bihar?,Raj Kumar Shukla,Sahajanand Saraswati,Acharya Narendra Dev,Baba Ram Chandra,(B) (B) Sahajanand Saraswat,,History of Bihar,Champaran Satyagraha,Mahavir Singh,CLASSIFIED
Q000083,71ST BPSC,Who was murdered while hoisting the national flag under the area of Bikram Police Station?,Raghunath Singh of Gorakhari,Ram Narain of Bikrampur,Satyendra of Gorakhari,None of the above,(D) (D) None of the above,,History of Bihar,Kunwar Singh,Murder at Bikram Police Station,CLASSIFIED
Q000084,71ST BPSC,Who became Chief Minister of Bihar in March 1939?,Anugraha Narain Singh,Rajendra Prasad,Sri Krishna Singh,None of the above,(D) (D) None of the above,,History of Bihar,Bihar's Role in 1857,Rajeshwari Dayal,CLASSIFIED
Q000085,71ST BPSC,"Match List-I with List-II. a) Karnasuvarna 1. Maharashtra b) Pragjyotish 2. Gujarat c) Girnar 3. West Bengal d) Pratishthan 4. Assam Select the correct answer using the codes given below: • Karnasuvarna was the capital of ancient Bengal, located in present-day West Bengal (Murshidabad). • Pragjyotisha was the capital of the ancient Kamarupa kingdom, associated with present-day Assam (Guwahati region). • Girnar is an important historical and religious site located in present-day Gujarat (Junagadh) • Pratishthana (or Paithan) was the capital of the Satavahana dynasty in ancient times, located in present-day Maharashtra (near Aurangabad) 87. Which one of the following is not related to the Rigvedic period?",Ghosha,Gargi,Apala,Vishvavara,(B) (B) Gargi,,History of India,Mauryan Empire,Ashoka,CLASSIFIED
Q000086,71ST BPSC,"Match List-I with List-II List-I Event/Place (a) Chola Gangam Lake (b) Appointment of Dharma Mahamatra (c) Assembly at Prayag (d) Sudarshan Lake List-II Connected with Person (1) Chandragupta Maurya (2) Harshavardhana (3) Rajendra I (4) Ashoka Select the correct answer using the codes given below: • Chola Gangam Lake - A reservoir and maritime trading center of the Chola dynasty in South India, associated with Rajendra I. • Appointment of Dharma Mahamatras - Appointed by Emperor Ashoka to oversee the observance of Dharma and its administration in his kingdom. • Assembly of Prayag - Organized by Empero Harshavardhana, which included representative from various kingdoms and scholars and monk from different religious sects. • Sudarshan Lake - This reservoir was constructed during the reign of Emperor Chandragupta Maurya. 89. Who among the following rulers, ruled for the maximum period?",Alauddin Khilji,Muhammad bin Tughluq,Bahlul Lodi,Balban,(C) (C) Bahlul Lodi,,History of Bihar,Harshavardhana,Assembly at Prayag,CLASSIFIED
Q000087,71ST BPSC,Consider the following dynasties ofAncient India: 1. Shunga 2. Maurya 3. Kushan 4. Kanva Which of the following is the correct chronological order of their rule?,2-1-4-3,1-2-3-4,2-3-1-4,2-1-3-4,(A) (A) 2-1-4-3,,Indian Polity,Constitution,Articles of the Constitution,CLASSIFIED
Q000088,71ST BPSC,Which one of the following is not written by Tulsidas?,Geetavali,Vinaya patrika,Sahitya Lahari,Kavitawali,(A) (A) 4 1 3 2,,Art & Culture,Tulsidas,Works of Tulsidas,CLASSIFIED
Q000089,71ST BPSC,"Match List-I with List-II. List-I (Building) List-II (Built by) (a) Kabuli Bagh Mosque (1) Qutb-ud-din Aibak (b) Adhai Din Ka Jhonpra (2) Nur Jahan (c) Allahabad Fort (3) Akbar (d) Itmad-ud-Daulah's Mausoleum (4) Babar Select the correct answer using the codes given below: • Kabuli Bagh Mosque: Built by Babur, located in Ahmedabad. • Adhai Din Ka Jhonpra: Constructed by Qutb-ud-din Aibak, located in Delhi. • Allahabad Fort: Built by Akbar, located in Allahabad (Prayagraj). • Itmad-ud-Daulah's Tomb: Built by Nur Jahan located in Agra, it is a fine example of Mughal architecture. 93. Which one of the following is not correctly matched? Person Associated with",James Augustus Hicky,Dayanand Saraswat,Ramaswamy Naicker,Jyotirao Phule,(A) (A) James Augustus Hicky - Calcutta Chronicle,,Indian Economy,Development,Economic Reforms,CLASSIFIED
Q000090,71ST BPSC,"Match List-I with List-II. List-I (Father) List-II (Son) Select the correct answer using the codes given below: • Babur - Kamran: Kamran was the youngest of Babur's sons. • Akbar - Salim: Akbar’s most famous son was Salim, who later adopted the name Jahangir. • Shahjahan – Murad Baksh: Murad was among Shahjahan sons. • Jahangir - Khusrau: Khusrau was Jahangir's son, who played a significant role in power struggles. Note : Murad Mirza is also one of the three son’s of the Akbar. 95. Which Buddhist councilwas not held in Bihar? Only the first, second, and third Buddhist councils were held in Bihar. • First Buddhist Council: 483 BCE, after the death of Gautama Buddha, in Rajagriha (modern Rajgir) under the patronage of King Ajatashatru. • Second Buddhist Council: 383 BCE, in Vaishali under the patronage of King Kalashoka • Third Buddhist Council: 250 BCE, in Pataliputra (modern Patna) under the patronage of Emperor Ashoka. • The Fourth Buddhist Council was not held in Bihar; it was held in Kundalavana in Kashmir, under the patronage of the Kushan king Kanishka. This council is considered significant for the expansion of the Buddhist faith and the codification of it doctrines. 96. Which of the following statements about Subhas Chandra Bose are correct? 1. He was elected Pręsident of the Indian Nationa Congress at Tripuri session of 1938 A.D 2. He escaped from home internment in January 1941 A.D 3. On October 21st 1943 A.D. he constituted the Provincial Government of India in Singapore.",Only 1 and 2 (B) Only 2 and 3,,"Only 1 and 3 (D) 1, 2 and 3",,,,General Mental Ability & CSAT,Constitution,Constitutional Bodies,CLASSIFIED
Q000091,71ST BPSC,Who among the following was not an Acharya in The Nalanda Vishvavidyalaya?,Nagarjuna,Kautilya,Sheelbhadra,Shantirakshit,(B) (B) Kautilya,,History of Bihar,Nalanda University,Acharyas of Nalanda University,CLASSIFIED
Q000092,71ST BPSC,Consider the following events of Modem Indian History- 1. Death sentence to Raja Nand Kumar 2. Treaty of Salbai 3. Battle of Wandiwash 4. Death of Tipu Sultan Which of the following is the correct chronological order of the above events?,2-3-4-1,3-1-2-4,2-4-1-3,3-2-1-4,(B) (B) 3-1-2-4,,History of India,British Expansion,Treaty of Salbai,CLASSIFIED
Q000093,71ST BPSC,"Among the following Newspapers of Bihar, which was the first one to get published?",Bihar Bandhu,Patna Harkara,Akhbar-E-Bihar,Bihar Herald,(B) (B) Patna Harkara,,Bihar Economy,Newspapers,First Newspaper of Bihar,CLASSIFIED
Q000094,71ST BPSC,"Match List-I with List-II. List-I (Event/Organization) List-II (Related Person) (d) Kisan Sabha Bihar (4) Dr. Rajendra Prasad Select the correct answer using the code given below: Champaran Satyagraha - Dr. Rajendra Prasad: Dr Rajendra Prasad and other leaders actively participated in the Satyagraha that took place in Champaran in 1917 under the leadership of Mahatma Gandhi. • Azad Dasta - Jayaprakash Narayan: During the Qui India Movement, Jayaprakash Narayan formed the Azad Dasta in Nepal. • Individual Satyagraha in Bihar in 1940 - Shyam Narayan Singh: Shyam Narayan Singh participated in the Individual Satyagraha movement. • Kisan Sabha, Bihar - Sahajanand Saraswati: In 1929 Swami Sahajanand Saraswati formed the Bihar Provincial Kisan Sabha, which fought for the right of farmers. 101. Maginot Line exists between which countries?",U.S.A. & Canada,France & Germany,Namibia and Angola,South Korea & North Korea,(B) (B) France and Germany,,General Mental Ability & CSAT,Kisan Sabha,Dr. Rajendra Prasad,CLASSIFIED
Q000095,71ST BPSC,Strait of Hormuz connects -,The Persian Gulf to Gulf of Oman,Red sea to Gulf of Aden,Red sea to Indian Ocean,Mediterranean sea to Red sea,(A) (A) The Persian Gulf to Gulf of Oman,,Geography,Straits,Strait of Hormuz,CLASSIFIED
Q000096,71ST BPSC,"Where is ""Ground Zero?",Greenwich,New York,Indira Point,Sriharikota,(B) (B) New York,,General Mental Ability & CSAT,Coding-Decoding,Symbol Substitution,CLASSIFIED
Q000097,71ST BPSC,Which of the following Isthmuses has been known as the Devil's Neck'?,Isthmuses of Panama (B) Kra Isthmuses,,Karelian Isthmuses (D) Isthmuses of Corinth,,(B) (B) Kra Isthmuses,,Geography,Rivers,Kosi River,CLASSIFIED
Q000098,71ST BPSC,Ladang refers to -,Shifting Agriculture,Plantation Agriculture,Subsistence type of Agriculture,Dry forming,(A) (A) Shifting Agriculture,,Art & Culture,Bihar Culture,Ladang,CLASSIFIED
Q000099,71ST BPSC,Which is the largest river Island in the world?,Srirangam Island,Majuli Island,Bhavani Island,Agatti Island,(B) (B) Majuli Island,,Geography,Rivers,Godavari River,CLASSIFIED
Q000100,71ST BPSC,The second largest river basin of India is-,Mahanadi river basin (B) Narmada river basin,,Godavari river basin (D) Kaveri river basin,,(C) (C) Godavari river basin,,Geography,Rivers,Ganga River,CLASSIFIED
Q000101,71ST BPSC,Which of the following is the place of confluence of the Alaknanda and Bhagirathi?,Vishnuprayag,Karnaprayag,Rudraprayag,Devprayag,(D) (D) Dev Prayag,,Geography,Rivers,Alaknanda River,CLASSIFIED
Q000102,71ST BPSC,"Vishnuprayag: Confluence of the Alaknanda and Dhauliganga rivers. 2. Nandprayag: Confluence of the Alaknanda and Nandakini rivers. 3. Karnaprayag: Confluence of the Alaknanda and Pindar rivers. 4. Rudraprayag: Confluence of the Alaknanda and Mandakini rivers. 5. Devprayag: Confluence of the Alaknanda and Bhagirathi rivers; from here, the river is known as the Ganges 109. The two volcanic Islands in the Indian Territory are-",Kavaratti and New Moore,Bitra and Kavaratti,Pamban and Barren,Narcondam and Barren,(D) (D) Narcondam and Barren,,Geography,Rivers,Vishnuprayag Confluence,CLASSIFIED
Q000103,71ST BPSC,The art of crafting which item in Meerut has received a GI tag?,Sports Goods,Musical Instruments,Laddoo,Scissors,(D) (D) Scissors,,Art & Culture,Bihar Culture,Meerut Craft - Chikanery,CLASSIFIED
Q000104,71ST BPSC,In India the Temperate Forest Research center is in which city?,Shimla,Ranchi,Srinagar,Dehradun,(A) (A) Shimla,,Geography,Soils,Black Cotton Soil,CLASSIFIED
Q000105,71ST BPSC,Kanha National Park is established in-,Uttarakhand,Assam,Madhya Pradesh,Maharashtra,(C) (C) Madhya Pradesh,,Geography,Agriculture,Kanha National Park,CLASSIFIED
Q000106,71ST BPSC,'Loktak' is a,Valley,Lake,River,Mountain series,(B) (B) Lake,,Geography,Rivers,Loktak Lake,CLASSIFIED
Q000107,71ST BPSC,Which of the following parks/sanctuaries come under the project tiger in Bihar?,Valmiki National Park,Udaypur Wildlife Sanctuary,Bhimbandh Wildlife Sanctuary,None of these,(A) (A) Valmiki National Park,,Geography,Biodiversity,Bihar Wildlife,CLASSIFIED
Q000108,71ST BPSC,Which ofthe following is the state animal of Bihar?,Cow,Bull,Buffalo,Horse,(B) (B) Bull,,Bihar Polity & Governance,Important Personalities,Kunwar Singh,CLASSIFIED
Q000109,71ST BPSC,"In which year, the Nalanda University was re- established in Bihar?",2005,2007,2008,2014,(D) (D) 2014,,History of Bihar,Sasaram,Sasaram Archaeological Museum,CLASSIFIED
Q000110,71ST BPSC,Karmanasa river originates in-,Kaimur District,Vaishali District,Patna District,Bikram District,(A) (A) Kaimur District,,Geography,Rivers,Karmanasa River,CLASSIFIED
Q000111,71ST BPSC,Bihar produces_________ % of pyrite of whole India?.,75,85,95,100,(C) (C) 95,,Indian Economy,Minerals,Pyrite,CLASSIFIED
Q000112,71ST BPSC,Gold is found in which district of Bihar?,Gaya District,Jamui District,Nalanda District,Bhagalpur District,(B) (B) Jamui district,,Geography,Soils,Gold Deposits,CLASSIFIED
Q000113,71ST BPSC,Most of the Bihar comes under which of the following climate type?,Subtropical Monsoon (B) Tropical savannah,,Hot and dry (D) Hot and Semi Arid,,(A) (A) Subtropical monsoon,,Geography,Climate,Tropical Monsoon Climate,CLASSIFIED
Q000114,71ST BPSC,We apply a force of 200 Newtons on a wooden Box and push it on the floor at constant velocity. The marginal friction force will be:,100 Newtons,200 Newtons,300 Newtons,400 Newtons,(B) (B) 200 Newtons,,Geography,Rivers,Kosi River,CLASSIFIED
Q000115,71ST BPSC,A truck starts from rest down a hill with a constant acceleration. It achieves 400 meters in 20 seconds. If the weight ofthe truck is 7 tons then what will be the force acting on it?,11000 Newtons,12000 Newtons,13000 Newtons,14000 Newtons,(D) (D) 14000 Newtons,,General Mental Ability & CSAT,Blood Relations,Force and Friction,CLASSIFIED
